energy,intensity,InitialState,FinalState,alpha,gamma
703.01,0.0039,1318.46_152Gd,615.41_152Gd,0.00599,1
703.55,0.0027,1047.81_152Gd,344.28_152Gd,0,1
703.55,0.064,1047.87_152Gd,344.29_152Gd,0.00598,1
707.16,0.00142,1730.21_152Sm,1022.97_152Sm,0,1
712.83,0.0955,1643.42_152Gd,930.55_152Gd,0.0022,1
716.84,0.00119,1680.55_152Sm,963.40_152Sm,0,1
719.35,0.25,1085.84_152Sm,366.48_152Sm,0.00517,1
719.36,0.095,1529.80_152Sm,810.45_152Sm,0.00197,1
728.04,0.0111,1769.13_152Sm,1041.12_152Sm,0.00192,1
734.14,9e-04,1757.00_152Sm,1022.97_152Sm,0,1
735.43,0.00441,1776.56_152Sm,1041.12_152Sm,0,1
756.16,0.0044,1779.12_152Sm,1022.97_152Sm,0,1
764.88,0.189,1109.20_152Gd,344.28_152Gd,0.007,1
764.90,0.00037,1109.10_152Gd,344.29_152Gd,0,1
766.38,0.00069,1730.21_152Sm,963.36_152Sm,0,1
768.96,0.082,1579.43_152Sm,810.45_152Sm,0.001719,1
778.90,12.93,1123.19_152Gd,344.28_152Gd,0.00184,1
778.90,0.002,1123.13_152Gd,344.29_152Gd,0,1
794.78,0.0263,1550.17_152Gd,755.40_152Gd,0.0075,1
802.00,0.00041,1612.88_152Sm,810.45_152Sm,0,1
805.71,0.0152,1769.13_152Sm,963.36_152Sm,0.001565,1
810.45,0.317,810.45_152Sm,0.00_152Sm,0.00393,1
810.49,0.024,810.44_152Sm,0.00_152Sm,0.00393,1
813.21,0.0043,1776.56_152Sm,963.36_152Sm,0,1
825.50,7e-04,1756.04_152Gd,930.63_152Gd,0,1
826.01,0.029,1510.79_152Sm,684.76_152Sm,0,1
839.36,0.0177,1649.83_152Sm,810.45_152Sm,0.001444,1
841.57,0.168,963.36_152Sm,121.78_152Sm,0.001436,1
841.63,14.2,963.40_152Sm,121.78_152Sm,0.00144,1
845.40,0.009,1460.54_152Gd,615.37_152Gd,0,1
850.10,0.00077,1605.60_152Gd,755.40_152Gd,0,1
855.21,0.00197,1221.67_152Sm,366.48_152Sm,0,1
867.38,4.23,1233.86_152Sm,366.48_152Sm,0.00343,1
870.14,0.09,1680.55_152Sm,810.44_152Sm,0,1
901.19,0.0854,1022.97_152Sm,121.78_152Sm,0.00311,1
906.06,0.0092,1612.88_152Sm,706.91_152Sm,0,1
919.27,0.00064,1041.11_152Sm,121.78_152Sm,0,1
919.34,0.419,1041.12_152Sm,121.78_152Sm,0.00121,1
919.74,0.0065,1730.21_152Sm,810.45_152Sm,0,1
926.31,0.272,1292.75_152Sm,366.48_152Sm,0.00293,1
930.59,0.0729,930.55_152Gd,0.00_152Gd,0.0032,1
937.05,0.0027,1692.40_152Gd,755.40_152Gd,0.0043,1
947.15,0.00109,1757.00_152Sm,810.45_152Sm,0,1
958.63,0.0197,1769.13_152Sm,810.45_152Sm,0.0035,1
961.08,0.008,1082.82_152Sm,121.78_152Sm,0,1
961.14,0.128,1082.88_152Sm,121.78_152Sm,0.0027,1
963.37,0.14,963.36_152Sm,0.00_152Sm,0.001107,1
963.38,11.6,963.40_152Sm,0.00_152Sm,0.00111,1
964.06,14.51,1085.84_152Sm,121.78_152Sm,0.00271,1
968.65,0.00792,1779.12_152Sm,810.45_152Sm,0,1
970.22,0.0012,1314.64_152Gd,344.28_152Gd,0.001207,1
970.33,0.56,1314.62_152Gd,344.29_152Gd,0.00121,1
974.09,0.0136,1318.46_152Gd,344.28_152Gd,0.0039,1
990.18,0.0314,1605.60_152Gd,615.41_152Gd,0.00281,1
995.84,0.065,1680.55_152Sm,684.76_152Sm,0,1
1005.27,0.659,1371.72_152Sm,366.48_152Sm,0.00259,1
1050.10,7e-04,1757.00_152Sm,706.91_152Sm,0,1
1084.38,0.0106,1769.13_152Sm,684.69_152Sm,0,1
1085.84,10.11,1085.84_152Sm,0.00_152Sm,0.00209,1
1089.74,1.734,1434.02_152Gd,344.28_152Gd,0.00231,1
1109.18,0.189,1109.20_152Gd,0.00_152Gd,0.00222,1
1109.20,0.00034,1109.10_152Gd,0.00_152Gd,0.00222,1
1112.08,13.67,1233.86_152Sm,121.78_152Sm,0.00201,1
1116.00,0.001,1460.54_152Gd,344.29_152Gd,0,1
1170.97,0.0372,1292.75_152Sm,121.78_152Sm,0.0023,1
1206.09,0.013,1550.17_152Gd,344.28_152Gd,0.00188,1
1212.95,1.415,1579.43_152Sm,366.48_152Sm,0.000756,1
1246.34,0.00093,1612.88_152Sm,366.48_152Sm,0,1
1249.94,0.187,1371.72_152Sm,121.78_152Sm,0.001586,1
1261.35,0.0335,1605.60_152Gd,344.28_152Gd,0.00265,1
1292.78,0.101,1292.75_152Sm,0.00_152Sm,0.001491,1
1299.14,1.633,1643.42_152Gd,344.28_152Gd,0.000788,1
1314.60,0.0019,1314.64_152Gd,0.00_152Gd,0.000773,1
1314.61,0.93,1314.62_152Gd,0.00_152Gd,0.000773,1
1315.58,0.00364,1682.07_152Sm,366.48_152Sm,0,1
1318.38,0.00157,1318.46_152Gd,0.00_152Gd,0,1
1348.10,0.0173,1692.40_152Gd,344.28_152Gd,0.001541,1
1363.78,0.0258,1730.21_152Sm,366.48_152Sm,0,1
1389.03,0.82,1510.79_152Sm,121.78_152Sm,0.000703,1
1390.50,0.00425,1757.00_152Sm,366.48_152Sm,0,1
1408.01,20.87,1529.80_152Sm,121.78_152Sm,0.000707,1
1411.76,0.045,1756.04_152Gd,344.29_152Gd,0,1
1455.10,0.0025,1822.03_152Sm,366.48_152Sm,0,1
1457.64,0.497,1579.43_152Sm,121.78_152Sm,0.000703,1
1460.65,0.0016,1460.54_152Gd,0.00_152Gd,0,1
1491.40,6e-04,1612.88_152Sm,121.78_152Sm,0,1
1510.77,0.0065,1510.79_152Sm,0.00_152Sm,0,1
1528.10,0.279,1649.83_152Sm,121.78_152Sm,0.000715,1
1558.74,0.0081,1680.55_152Sm,121.78_152Sm,0,1
1605.62,0.0079,1605.60_152Gd,0.00_152Gd,0.00119,1
1608.36,0.0054,1730.21_152Sm,121.78_152Sm,0.000735,1
1635.38,0.00016,1757.00_152Sm,121.78_152Sm,0,1
1647.44,0.0073,1769.13_152Sm,121.78_152Sm,0.00117,1
1680.62,0.0055,1680.55_152Sm,0.00_152Sm,0,1
1755.98,0.0029,1756.04_152Gd,0.00_152Gd,0,1
1769.09,0.00931,1769.13_152Sm,0.00_152Sm,0.000989,1
